timestamp,sender_id,receiver_id,amount,agent_id,device_id,is_fraud,fraud_scenario,num_accounts_linked,shared_device_flag,avg_transaction_amount,transaction_frequency,num_unique_recipients,transactions_last_24hr,round_amount_flag,hour,night_activity_flag
2025-01-01 00:00:26,U_1227,U_6062,1791.96,A_228,D_3309,0,none,21,1,2082.5555555555557,9,9,1.0,0,0,1
2025-01-01 00:00:55,U_8671,U_2822,273.36,A_150,D_3287,0,none,28,1,1865.0813333333333,15,15,1.0,0,0,1
2025-01-01 00:02:27,U_2632,U_7365,787.46,A_315,D_2136,0,none,17,1,1508.4466666666667,9,9,1.0,0,0,1
2025-01-01 00:02:50,U_978,U_5210,3323.9,A_117,D_4685,0,none,24,1,2192.8826666666664,15,15,1.0,0,0,1
2025-01-01 00:03:05,U_123,U_9103,1003.93,A_64,D_4913,0,none,17,1,1717.0266666666666,9,9,1.0,0,0,1
2025-01-01 00:03:26,U_3078,U_7885,1211.69,A_156,D_2824,0,none,32,1,2119.839,10,10,1.0,0,0,1
2025-01-01 00:04:28,U_8796,U_3539,424.61,A_363,D_3897,0,none,25,1,2500.0559999999996,10,10,1.0,0,0,1
2025-01-01 00:04:42,U_9033,U_3356,1594.69,A_146,D_2993,0,none,24,1,827.5663636363636,11,11,1.0,0,0,1
2025-01-01 00:05:03,U_5427,U_6553,172.08,A_84,D_4504,0,none,25,1,1209.544285714286,7,7,1.0,0,0,1
2025-01-01 00:05:21,U_9554,U_998,566.43,A_348,D_3423,0,none,25,1,1334.3327272727272,11,11,1.0,0,0,1
2025-01-01 00:05:21,U_6985,U_7287,346.65,A_336,D_4933,0,none,20,1,1824.7150000000001,8,8,1.0,0,0,1
2025-01-01 00:08:24,U_5160,U_7706,1531.46,A_168,D_1846,0,none,17,1,2365.204761904762,21,21,1.0,0,0,1
2025-01-01 00:09:04,U_5021,U_2057,17.13,A_148,D_3177,0,none,22,1,1448.6773333333333,15,15,1.0,0,0,1
2025-01-01 00:09:53,U_1469,U_489,181.04,A_210,D_1350,0,none,21,1,1656.8587499999999,8,8,1.0,0,0,1
2025-01-01 00:10:10,U_8925,U_2938,132.7,A_183,D_1244,0,none,26,1,1121.052222222222,9,9,1.0,0,0,1
2025-01-01 00:10:16,U_9277,U_8573,362.28,A_48,D_1501,0,none,19,1,1356.5569230769229,13,13,1.0,0,0,1
2025-01-01 00:10:22,U_6189,U_9809,885.04,A_39,D_4803,0,none,19,1,1844.1142857142856,14,14,1.0,0,0,1
2025-01-01 00:11:25,U_5597,U_5693,131.54,A_339,D_3509,0,none,17,1,2178.27,8,8,1.0,0,0,1
2025-01-01 00:12:44,U_8116,U_6807,2423.21,A_70,D_1423,0,none,21,1,1989.735,8,8,1.0,0,0,1
2025-01-01 00:12:56,U_5138,U_8247,7954.1,A_116,D_3892,1,loan_fraud,21,1,2799.6186666666667,15,15,1.0,0,0,1
2025-01-01 00:13:14,U_9454,U_9447,2375.11,A_229,D_1262,0,none,21,1,1867.7490909090911,11,11,1.0,0,0,1
2025-01-01 00:14:12,U_8326,U_3510,5880.53,A_149,D_3622,1,business_fraud,19,1,2300.804117647059,17,13,1.0,0,0,1
2025-01-01 00:14:24,U_6012,U_4827,989.83,A_140,D_3989,0,none,17,1,1741.69,11,11,1.0,0,0,1
2025-01-01 00:14:38,U_8204,U_7305,4077.33,A_4,D_2203,0,none,19,1,3108.2549999999997,12,12,1.0,0,0,1
2025-01-01 00:15:54,U_6754,U_7166,3441.76,A_171,D_1985,0,none,21,1,2025.9080000000001,10,10,1.0,0,0,1
2025-01-01 00:17:41,U_3160,U_4898,1397.23,A_398,D_1271,0,none,15,1,1730.7299999999998,13,13,1.0,0,0,1
2025-01-01 00:17:46,U_2956,U_2572,100.94,A_166,D_2107,0,none,25,1,2131.69875,8,8,1.0,0,0,1
2025-01-01 00:17:54,U_5232,U_4079,2654.81,A_317,D_3963,0,none,27,1,2216.6,10,10,1.0,0,0,1
2025-01-01 00:19:07,U_9201,U_9576,224.82,A_61,D_2947,1,loan_fraud,22,1,2473.6105555555555,18,18,1.0,0,0,1
2025-01-01 00:19:21,U_9036,U_2487,3380.87,A_260,D_2381,0,none,16,1,2067.538,15,15,1.0,0,0,1
2025-01-01 00:20:35,U_7800,U_6362,3113.58,A_124,D_4139,0,none,18,1,2181.986,10,10,1.0,0,0,1
2025-01-01 00:21:09,U_7138,U_1054,145.68,A_240,D_4508,0,none,32,1,1264.5263636363636,11,11,1.0,0,0,1
2025-01-01 00:22:03,U_5270,U_7291,1120.21,A_93,D_3560,0,none,22,1,1310.5022222222224,9,9,1.0,0,0,1
2025-01-01 00:22:41,U_2189,U_9590,224.53,A_63,D_243,0,none,12,1,2355.5,11,11,1.0,0,0,1
2025-01-01 00:24:17,U_8160,U_8051,3313.79,A_324,D_4379,0,none,24,1,2941.007,10,10,1.0,0,0,1
2025-01-01 00:24:36,U_2084,U_7487,889.62,A_186,D_407,0,none,23,1,2747.049375,16,16,1.0,0,0,1
2025-01-01 00:25:04,U_8546,U_7623,1404.58,A_62,D_704,0,none,16,1,2462.652727272727,11,11,1.0,0,0,1
2025-01-01 00:25:36,U_3770,U_6196,1303.08,A_130,D_2522,0,none,17,1,1206.7688888888888,9,9,1.0,0,0,1
2025-01-01 00:25:57,U_1001,U_4331,485.39,A_329,D_4522,0,none,27,1,2507.7907142857143,14,14,1.0,0,0,1
2025-01-01 00:25:57,U_1506,U_9516,927.77,A_279,D_3962,0,none,13,1,2579.567777777778,18,18,1.0,0,0,1
2025-01-01 00:26:12,U_1540,U_8109,4821.24,A_88,D_2197,0,none,17,1,2090.3218181818183,11,11,1.0,0,0,1
2025-01-01 00:26:17,U_557,U_223,2037.19,A_207,D_4442,0,none,34,1,1490.1563636363637,11,11,1.0,0,0,1
2025-01-01 00:26:28,U_2204,U_7476,120.74,A_70,D_1606,0,none,20,1,1935.1657142857143,14,14,1.0,0,0,1
2025-01-01 00:27:15,U_878,U_8984,1356.91,A_259,D_1168,0,none,26,1,1181.1100000000001,16,16,1.0,0,0,1
2025-01-01 00:29:16,U_3883,U_7485,858.93,A_264,D_2540,0,none,20,1,2710.2912499999998,8,8,1.0,0,0,1
2025-01-01 00:29:23,U_2049,U_8766,2655.3,A_364,D_1885,0,none,16,1,1977.3507142857143,14,14,1.0,0,0,1
2025-01-01 00:29:50,U_183,U_2681,1428.57,A_8,D_4528,0,none,20,1,2300.0911764705884,17,17,1.0,0,0,1
2025-01-01 00:31:01,U_293,U_8266,352.3,A_12,D_1811,0,none,22,1,2112.975,6,6,1.0,0,0,1
2025-01-01 00:31:56,U_2454,U_7091,2286.74,A_365,D_752,0,none,24,1,2098.2045454545455,11,11,1.0,0,0,1
2025-01-01 00:33:53,U_5596,U_9412,621.06,A_123,D_2232,0,none,19,1,2752.2633333333333,9,9,1.0,0,0,1
2025-01-01 00:34:29,U_9439,U_9198,7059.78,A_114,D_1648,0,none,16,1,4566.2699999999995,10,10,1.0,0,0,1
2025-01-01 00:35:01,U_8756,U_2883,5977.75,A_242,D_2761,1,fraud_ring,19,1,2778.327142857143,14,14,1.0,0,0,1
2025-01-01 00:37:02,U_2392,U_7607,1489.16,A_60,D_2017,0,none,26,1,1547.399,10,10,1.0,0,0,1
2025-01-01 00:37:25,U_3012,U_8530,1040.75,A_208,D_192,0,none,24,1,1730.53375,8,8,1.0,0,0,1
2025-01-01 00:37:45,U_731,U_8719,1116.36,A_333,D_3654,0,none,15,1,1087.1025,8,8,1.0,0,0,1
2025-01-01 00:39:19,U_978,U_8150,190.19,A_162,D_2096,0,none,20,1,2192.8826666666664,15,15,2.0,0,0,1
2025-01-01 00:42:55,U_6951,U_8531,719.89,A_106,D_1828,0,none,18,1,1429.131,10,10,1.0,0,0,1
2025-01-01 00:43:52,U_1423,U_5241,2919.67,A_257,D_440,0,none,22,1,3061.889375,16,16,1.0,0,0,1
2025-01-01 00:44:14,U_4288,U_3569,4796.8,A_53,D_3011,0,none,22,1,2195.924285714286,14,14,1.0,0,0,1
2025-01-01 00:46:25,U_8115,U_8861,247.83,A_272,D_550,0,none,20,1,2177.4075,8,8,1.0,0,0,1
2025-01-01 00:46:31,U_6161,U_2322,3626.05,A_89,D_3781,0,none,20,1,1725.4925,12,12,1.0,0,0,1
2025-01-01 00:47:05,U_3397,U_3737,1421.01,A_233,D_3081,0,none,23,1,2580.4216666666666,6,6,1.0,0,0,1
2025-01-01 00:47:33,U_7071,U_6331,696.86,A_95,D_4102,0,none,15,1,2984.8239999999996,10,10,1.0,0,0,1
2025-01-01 00:49:30,U_3113,U_6088,5793.8,A_399,D_3263,0,none,27,1,2151.447272727273,11,11,1.0,0,0,1
2025-01-01 00:50:06,U_7694,U_1804,674.98,A_360,D_2698,0,none,22,1,2156.328571428571,7,7,1.0,0,0,1
2025-01-01 00:51:46,U_2753,U_8402,166.39,A_217,D_1825,0,none,30,1,1201.1228571428571,7,7,1.0,0,0,1
2025-01-01 00:51:49,U_7599,U_2562,1461.51,A_223,D_1311,0,none,20,1,3942.2699999999995,10,10,1.0,0,0,1
2025-01-01 00:52:17,U_5278,U_2567,1173.37,A_146,D_4212,0,none,30,1,1145.2345454545455,11,11,1.0,0,0,1
2025-01-01 00:52:27,U_1602,U_2181,1511.88,A_10,D_4034,0,none,19,1,1716.9042857142854,7,7,1.0,0,0,1
2025-01-01 00:52:43,U_4177,U_478,3700.7,A_294,D_4395,0,none,18,1,1979.842142857143,14,14,1.0,0,0,1
2025-01-01 00:53:10,U_4344,U_1542,15368.5,A_122,D_1883,0,none,25,1,2873.7788888888886,9,9,1.0,0,0,1
2025-01-01 00:53:12,U_3327,U_599,3293.74,A_116,D_2720,0,none,17,1,1473.9688888888888,9,9,1.0,0,0,1
2025-01-01 00:53:13,U_6333,U_3314,248.77,A_144,D_3412,0,none,15,1,1141.7559999999999,10,10,1.0,0,0,1
2025-01-01 00:53:26,U_8429,U_1524,2306.16,A_149,D_3291,0,none,27,1,2898.568333333333,6,6,1.0,0,0,1
2025-01-01 00:53:30,U_8307,U_287,5962.91,A_26,D_4426,0,none,21,1,1799.7745454545454,11,11,1.0,0,0,1
2025-01-01 00:55:28,U_7009,U_7943,671.12,A_178,D_655,0,none,21,1,1427.57,8,8,1.0,0,0,1
2025-01-01 00:56:24,U_2820,U_1041,1439.54,A_17,D_1693,0,none,21,1,3123.367142857143,7,7,1.0,0,0,1
2025-01-01 00:56:48,U_9960,U_930,350.76,A_385,D_3476,0,none,17,1,1552.7069999999999,10,10,1.0,0,0,1
2025-01-01 00:57:16,U_515,U_6512,868.75,A_143,D_2230,0,none,20,1,1369.0954545454545,11,11,1.0,0,0,1
2025-01-01 00:58:47,U_3619,U_767,8.64,A_204,D_4638,0,none,22,1,1410.405,8,8,1.0,0,0,1
2025-01-01 01:01:20,U_8561,U_363,608.65,A_269,D_23,0,none,24,1,1656.4890909090907,11,11,1.0,0,1,1
2025-01-01 01:01:54,U_4900,U_8411,442.95,A_312,D_55,0,none,20,1,1233.692,10,10,1.0,0,1,1
2025-01-01 01:03:34,U_2226,U_776,216.91,A_289,D_4553,0,none,16,1,1319.17875,8,8,1.0,0,1,1
2025-01-01 01:03:46,U_1399,U_7856,159.3,A_319,D_1869,0,none,15,1,1391.4106666666667,15,15,1.0,0,1,1
2025-01-01 01:05:27,U_6516,U_1048,854.21,A_45,D_3142,0,none,18,1,2034.2939999999999,10,10,1.0,0,1,1
2025-01-01 01:06:08,U_5252,U_7075,1507.12,A_183,D_537,0,none,19,1,1866.1741666666667,12,12,1.0,0,1,1
2025-01-01 01:06:24,U_5052,U_5716,6602.84,A_21,D_2847,0,none,12,1,1692.377,10,10,1.0,0,1,1
2025-01-01 01:09:20,U_7624,U_9055,130.01,A_83,D_4400,0,none,21,1,1632.5300000000002,11,11,1.0,0,1,1
2025-01-01 01:11:27,U_5911,U_1491,320.67,A_97,D_370,0,none,23,1,968.6966666666667,9,9,1.0,0,1,1
2025-01-01 01:11:47,U_9348,U_4852,2811.63,A_194,D_1871,0,none,23,1,2476.6276470588236,17,17,1.0,0,1,1
2025-01-01 01:12:48,U_5123,U_6547,2888.27,A_378,D_713,0,none,23,1,2236.96,11,11,1.0,0,1,1
2025-01-01 01:12:51,U_1813,U_8867,1992.53,A_51,D_984,0,none,25,1,1038.232,15,15,1.0,0,1,1
2025-01-01 01:14:31,U_3035,U_1891,3244.93,A_237,D_3234,0,none,23,1,5904.996666666666,9,9,1.0,0,1,1
2025-01-01 01:14:33,U_5281,U_6226,6748.84,A_179,D_2066,0,none,16,1,1908.868,10,10,1.0,0,1,1
2025-01-01 01:14:48,U_8164,U_9823,4206.06,A_153,D_1710,0,none,17,1,1566.3155555555556,9,9,1.0,0,1,1
2025-01-01 01:15:29,U_6075,U_6460,627.37,A_45,D_4777,0,none,21,1,2125.12625,16,16,1.0,0,1,1
2025-01-01 01:15:35,U_447,U_514,107.27,A_96,D_28,0,none,14,1,2146.634,10,10,1.0,0,1,1
2025-01-01 01:15:59,U_6385,U_4506,1663.23,A_244,D_3516,0,none,22,1,2186.0033333333336,15,15,1.0,0,1,1
2025-01-01 01:16:58,U_6084,U_1317,415.96,A_8,D_2377,0,none,14,1,1744.26,13,13,1.0,0,1,1
2025-01-01 01:17:18,U_6664,U_6265,478.36,A_306,D_2257,1,loan_fraud,21,1,2162.1815384615384,13,13,1.0,0,1,1
2025-01-01 01:17:20,U_9699,U_4619,1193.48,A_70,D_3538,0,none,20,1,2356.7478571428574,14,14,1.0,0,1,1
2025-01-01 01:17:40,U_9526,U_5828,1764.7,A_345,D_1410,0,none,17,1,1707.303125,16,16,1.0,0,1,1
2025-01-01 01:18:17,U_7368,U_5530,1507.11,A_303,D_4898,0,none,22,1,1583.8876470588236,17,17,1.0,0,1,1
2025-01-01 01:19:13,U_4815,U_6951,1564.01,A_268,D_2019,0,none,24,1,2601.6633333333334,9,9,1.0,0,1,1
2025-01-01 01:20:29,U_4974,U_9067,58.05,A_361,D_3951,0,none,29,1,2099.734615384615,13,13,1.0,0,1,1
2025-01-01 01:22:26,U_3219,U_9773,1061.62,A_91,D_4083,0,none,18,1,2170.421,10,10,1.0,0,1,1
2025-01-01 01:22:30,U_8102,U_3551,3019.23,A_32,D_3121,0,none,26,1,2412.0686666666666,15,15,1.0,0,1,1
2025-01-01 01:22:53,U_3786,U_7723,415.48,A_317,D_942,0,none,26,1,1843.581111111111,9,9,1.0,0,1,1
2025-01-01 01:23:12,U_1746,U_4525,1577.09,A_240,D_4251,0,none,21,1,1331.0149999999999,10,10,1.0,0,1,1
2025-01-01 01:23:14,U_1634,U_6442,828.51,A_97,D_1596,0,none,14,1,1429.8309090909092,11,11,1.0,0,1,1
2025-01-01 01:24:11,U_4571,U_7428,3258.99,A_220,D_3512,0,none,27,1,1472.746923076923,13,13,1.0,0,1,1
2025-01-01 01:24:11,U_5095,U_5489,406.24,A_14,D_2331,0,none,16,1,1345.9485714285713,14,14,1.0,0,1,1
2025-01-01 01:24:33,U_6170,U_8221,2601.1,A_397,D_1581,0,none,28,1,4114.51,10,10,1.0,0,1,1
2025-01-01 01:24:58,U_3510,U_5178,935.24,A_253,D_1069,1,business_fraud,11,1,2588.7270588235297,17,13,1.0,0,1,1
2025-01-01 01:25:26,U_9406,U_6018,894.14,A_384,D_4259,0,none,25,1,2170.9272727272723,11,11,1.0,0,1,1
2025-01-01 01:26:29,U_7588,U_631,5791.7,A_266,D_4822,0,none,21,1,1842.9115384615384,13,13,1.0,0,1,1
2025-01-01 01:27:47,U_5745,U_42,368.64,A_217,D_877,0,none,26,1,871.16875,8,8,1.0,0,1,1
2025-01-01 01:27:50,U_41,U_1355,737.88,A_80,D_4670,0,none,22,1,1834.8672727272728,11,11,1.0,0,1,1
2025-01-01 01:29:30,U_5102,U_7258,401.09,A_36,D_844,0,none,27,1,2382.8926666666666,15,15,1.0,0,1,1
2025-01-01 01:29:31,U_9125,U_4287,33.42,A_180,D_3840,0,none,22,1,2130.5345454545454,11,11,1.0,0,1,1
2025-01-01 01:29:36,U_9012,U_590,1671.9,A_13,D_2017,0,none,26,1,3261.4036363636365,11,11,1.0,0,1,1
2025-01-01 01:30:05,U_7327,U_494,153.71,A_179,D_2939,0,none,21,1,1920.565,8,8,1.0,0,1,1
2025-01-01 01:30:15,U_4820,U_1132,2732.49,A_232,D_2175,0,none,19,1,1457.7977777777776,9,9,1.0,0,1,1
