user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
U_1227,-81.585,116.2135,-36.77603,-63.71268,-71.55423,-79.40779,161.2427,124.69676,146.00706,63.300407,-147.33447,-129.9124,-110.37193,145.3096,65.47496,46.767365,141.9205,102.91421,-83.427246,-137.78163,-40.982006,-81.57099,-133.83829,149.30316,-135.66385,90.935455,133.23344,87.599365,-114.359886,-147.55707,-94.86752,-44.20355,41.546097,82.912994,33.51278,-121.67479,-50.294907,135.97873,-124.93423,-162.20969,157.4239,143.92108,67.61363,86.911316,-73.26019,-139.90213,70.27241,-151.86264,-125.296585,-116.91008,8.084627,154.09634,88.15442,126.18901,130.17334,111.21724,111.19078,141.75226,93.41945,114.13571,146.42827,32.048046,93.351685,-147.52505
U_8671,-81.11252,111.70882,-37.933712,-64.68731,-68.98274,-76.4505,165.3068,118.01883,145.48071,61.055176,-142.73755,-130.21288,-105.55763,145.53777,70.37862,46.271503,140.9569,102.576904,-80.14459,-133.8446,-47.494217,-77.92723,-130.37537,146.07306,-133.98799,86.97737,133.59793,86.380585,-112.9429,-148.26785,-90.66441,-50.289818,43.743435,84.724304,30.605669,-121.64774,-48.982647,134.7457,-123.70311,-162.60269,154.38962,142.08772,66.033875,85.23025,-69.42745,-138.19345,68.635765,-155.53918,-122.62717,-117.38759,6.4220133,153.06383,84.64874,127.04193,128.04247,107.36508,106.221954,139.29407,89.680695,112.37532,141.76094,39.70539,91.98495,-145.93857
U_2632,-66.22582,95.056076,-32.765373,-54.227676,-55.926754,-65.927734,128.15811,101.19771,116.78197,53.221058,-119.15585,-105.828445,-87.71251,117.03554,53.29492,37.844288,113.22862,84.75313,-67.49366,-111.27092,-35.638844,-68.22157,-107.62638,120.372314,-109.110756,75.48128,106.347786,71.578476,-91.57854,-118.10712,-78.47129,-38.3173,36.59891,66.242226,27.452324,-97.00006,-43.388306,108.23599,-100.60588,-129.16205,126.04555,116.53385,52.099087,71.729385,-60.844463,-113.59858,58.68184,-120.41468,-101.327194,-91.487335,4.0000424,123.76825,70.73779,103.03999,104.43376,87.92328,89.3988,114.36886,77.67294,92.13066,118.55061,26.881199,77.344215,-117.63495
U_978,-70.52834,100.70327,-24.809845,-51.77482,-63.32302,-64.29033,155.73611,108.32161,137.87253,49.75688,-133.68054,-116.38817,-97.01276,135.24377,58.10058,38.48548,133.1683,89.8262,-69.27647,-124.51866,-32.74513,-65.67721,-121.86234,136.59468,-122.79729,74.643364,123.87172,76.66656,-102.42741,-139.67142,-80.87138,-35.964333,30.157646,73.95121,21.253727,-111.25499,-37.641376,125.05128,-113.30254,-153.886,144.8787,130.92181,61.99041,72.798096,-57.92282,-129.00774,57.565086,-145.35541,-113.91139,-110.2816,16.056068,142.72064,77.552795,113.99835,119.57379,100.01868,97.83113,129.6308,78.62643,100.71949,133.2698,27.047186,78.8992,-137.01038
U_123,-63.532856,91.553246,-32.5667,-53.58053,-53.856625,-62.886803,126.8535,97.00704,113.13945,52.042023,-115.016785,-103.55008,-84.38536,114.562,54.974403,37.29095,109.330124,83.23424,-65.76476,-109.25462,-38.141567,-66.345795,-103.13431,116.564224,-107.34227,72.43489,104.7552,68.85336,-89.1584,-115.74132,-74.56094,-39.833477,37.89605,65.84962,26.452267,-93.89664,-42.66989,105.23428,-97.64369,-127.502045,122.71389,114.038536,50.376904,70.88295,-58.684547,-110.25935,56.39631,-119.02133,-97.63805,-89.649185,1.8638765,121.1366,67.403336,100.92149,100.52763,84.74278,86.42025,112.21604,73.9086,89.52167,114.73889,29.17057,75.72696,-114.41292
U_3078,-68.79783,95.1037,-32.444298,-53.99048,-58.41058,-64.98339,133.1558,100.25653,117.930954,50.20014,-119.34094,-108.68999,-89.192535,119.47813,57.635956,39.502594,116.142166,85.11334,-68.8453,-110.93713,-36.57516,-66.800934,-106.96835,121.43556,-112.30936,73.590866,110.045876,71.45245,-93.55154,-121.01546,-74.410706,-39.336308,37.02053,70.963,27.398298,-101.03662,-39.362984,112.53267,-103.3595,-133.31314,128.1673,117.60663,53.585117,70.81943,-59.823196,-112.61575,56.79756,-127.86037,-100.70977,-95.33291,5.095645,126.04968,67.4354,104.96769,105.15764,89.832214,88.53529,115.30088,75.61522,93.106735,117.269615,32.981506,77.368095,-120.227036
U_8796,-77.68801,113.664,-32.181515,-61.990334,-71.96179,-74.81179,168.914,122.705154,151.47543,58.924194,-146.28206,-130.0736,-109.27278,147.38469,69.27204,45.854733,145.70125,101.11998,-80.473564,-139.38516,-40.03523,-76.53805,-132.97781,151.80206,-137.24933,86.06889,135.74162,84.9401,-113.89201,-154.03944,-89.79714,-42.250004,39.8353,82.63398,28.662285,-121.82355,-45.71503,137.2669,-124.92401,-168.11787,159.15399,143.76135,67.98181,84.86784,-68.71529,-140.40497,66.150406,-159.03885,-124.82634,-121.83646,14.335276,156.86032,87.274,127.29545,131.8613,112.90658,109.64899,142.27167,88.69958,111.830475,147.46475,32.191723,91.71752,-152.04337
U_9033,-62.760162,89.56589,-33.352676,-52.661224,-50.95016,-62.33009,123.216324,94.004944,109.49663,50.2427,-110.82138,-101.88293,-81.69705,111.65526,52.38388,34.60527,105.73615,80.8067,-62.754604,-104.80545,-37.819427,-65.035934,-100.24163,113.1861,-103.814865,71.40669,101.40984,66.71681,-86.49504,-111.256226,-72.765915,-39.806705,37.43703,63.201973,25.165245,-92.371475,-40.499428,103.17923,-95.31868,-124.13397,120.092255,110.24208,46.64396,68.049385,-57.772232,-105.79813,54.74045,-115.9766,-93.984146,-85.60799,1.2304969,117.232475,64.64718,99.34047,96.3882,81.17096,82.065834,108.55888,72.45224,86.259094,110.13403,29.384628,72.98626,-112.014694
U_5427,-66.900154,98.86835,-36.14413,-58.416584,-56.667244,-68.02907,133.55565,104.07701,120.20982,55.62188,-121.499115,-111.02911,-89.61023,121.90632,59.293266,39.51589,116.17032,88.90137,-70.6521,-115.72844,-41.023994,-71.58295,-108.022675,124.34471,-114.71179,77.84387,110.84721,72.42071,-94.481415,-122.595795,-78.87054,-43.17321,42.318718,69.25034,28.58944,-99.76002,-45.14225,112.319855,-103.14325,-134.62784,130.24263,120.000435,51.822456,75.674484,-64.243164,-115.20445,58.834187,-127.06592,-102.98067,-94.32564,2.0691009,127.77722,70.88921,107.82742,106.850296,90.41136,90.96063,117.70438,78.01184,93.77707,122.00271,31.986141,81.44295,-122.27926
U_9554,-64.31954,100.1749,-21.213556,-51.046852,-62.820114,-63.12645,156.31837,110.94339,141.11688,49.305504,-135.39294,-115.981064,-97.78931,134.58066,56.408478,36.528347,133.0202,89.26304,-65.05688,-128.78487,-30.967274,-64.20934,-120.85579,141.29704,-122.95564,73.65166,122.89781,73.98636,-101.44266,-144.49182,-80.34285,-33.47623,29.395025,69.48257,18.079298,-107.34256,-35.741734,127.20174,-113.17078,-159.22607,146.6541,131.48967,58.165478,73.13544,-58.2045,-129.02505,52.597023,-146.27121,-111.3095,-111.72249,21.100971,144.0162,78.308975,112.765884,121.64686,101.22284,98.202866,132.15771,75.92556,95.09495,138.87631,21.47085,78.47981,-140.17578
